Date,AveragePrice,SalesVolume,DetachedPrice,SemiDetachedPrice,TerracedPrice,FlatPrice
01/09/2016 00:00,197883,91720,319920,191706,160811,164008
01/10/2016 00:00,197230,85296,320109,191002,159377,164169
01/11/2016 00:00,198157,88926,322661,191669,159825,165017
01/12/2016 00:00,198513,94685,321919,191877,160807,165218
01/01/2017 00:00,198276,68663,322264,191638,160078,165412
01/02/2017 00:00,198695,71432,321868,191338,160415,167195
01/03/2017 00:00,198270,89388,322517,191581,159865,165614
01/04/2017 00:00,201407,75980,326588,194302,162687,168766
01/05/2017 00:00,202616,83671,325557,196247,163459,171019
01/06/2017 00:00,204347,101940,328979,197369,165651,171539
01/07/2017 00:00,207005,92257,333466,200043,167413,174104
01/08/2017 00:00,207944,98938,334961,200808,168998,173852
01/09/2017 00:00,207167,94287,336145,200368,167901,172081
01/10/2017 00:00,207349,92827,336616,201450,167687,171660
01/11/2017 00:00,206760,92234,334785,200765,167248,171759
01/12/2017 00:00,207568,91613,335813,201764,168529,171454
01/01/2018 00:00,206844,68244,336194,200951,166829,171670
01/02/2018 00:00,207385,69001,338128,200987,167590,171565
01/03/2018 00:00,206133,81852,335868,200552,167283,168819
01/04/2018 00:00,208103,71868,337203,202697,169403,170620
01/05/2018 00:00,208953,81591,339021,203510,169982,171220
01/06/2018 00:00,210355,96025,340433,205504,170707,172765
01/07/2018 00:00,212963,89227,346741,207428,173102,173939
01/08/2018 00:00,213618,102004,347348,208390,174055,173823
01/09/2018 00:00,213210,83605,348170,208303,173316,172789
01/10/2018 00:00,212986,92640,348234,208131,172719,172855
01/11/2018 00:00,212077,99031,346482,207450,172383,171506
01/12/2018 00:00,211621,83841,344161,207273,171722,172195
01/01/2019 00:00,210317,65601,345600,205889,169823,170228
01/02/2019 00:00,209787,67760,343862,205338,169909,169641
01/03/2019 00:00,209202,78959,341874,205497,169634,168673
01/04/2019 00:00,210718,73565,343256,206575,171695,169883
01/05/2019 00:00,211005,82430,343139,207284,172395,169323
01/06/2019 00:00,211915,84291,343983,208110,172523,171409
01/07/2019 00:00,214282,89178,348464,209662,174701,173470
01/08/2019 00:00,214971,95776,350717,210652,176123,171729
01/09/2019 00:00,215127,84027,349891,210073,175848,173965
01/10/2019 00:00,214559,90628,349418,211678,174672,171697
01/11/2019 00:00,213801,93442,349599,210905,174337,169841
01/12/2019 00:00,213521,84961,347500,209889,174572,170849
01/01/2020 00:00,213657,68598,348846,210423,173898,170893
01/02/2020 00:00,212429,67476,347424,209114,173754,168422
01/03/2020 00:00,214344,69214,350069,210729,174807,171323
